mask,seqlen,heads,hd,baseline,tensor,max_abs,max_rel,note
full,128,2,192,torch_flex,out,3.906250e-03,5.494505e-03,
full,128,2,192,torch_flex,dq,3.906250e-03,4.830918e-03,
full,128,2,192,torch_flex,dk,3.906250e-03,4.255319e-03,
full,128,2,192,torch_flex,dv,1.953125e-03,1.838235e-03,
full,256,2,192,torch_flex,out,1.953125e-03,3.448276e-03,
full,256,2,192,torch_flex,dq,3.906250e-03,6.711409e-03,
full,256,2,192,torch_flex,dk,3.906250e-03,5.464481e-03,
full,256,2,192,torch_flex,dv,9.765625e-04,1.666667e-03,
causal,128,2,192,torch_flex,out,1.562500e-02,4.608295e-03,
causal,128,2,192,torch_flex,dq,9.765625e-03,5.122951e-03,
causal,128,2,192,torch_flex,dk,1.562500e-02,6.172840e-03,
causal,128,2,192,torch_flex,dv,0.000000e+00,0.000000e+00,
causal,256,2,192,torch_flex,out,1.562500e-02,4.405286e-03,
causal,256,2,192,torch_flex,dq,7.812500e-03,4.854369e-03,
causal,256,2,192,torch_flex,dk,1.562500e-02,6.451613e-03,
causal,256,2,192,torch_flex,dv,1.953125e-03,4.280822e-04,
inv_causal,128,2,192,torch_flex,out,1.562500e-02,4.854369e-03,
inv_causal,128,2,192,torch_flex,dq,7.812500e-03,3.472222e-03,
inv_causal,128,2,192,torch_flex,dk,1.562500e-02,4.629630e-03,
inv_causal,128,2,192,torch_flex,dv,1.953125e-03,3.571429e-04,
inv_causal,256,2,192,torch_flex,out,7.812500e-03,2.173913e-03,
inv_causal,256,2,192,torch_flex,dq,1.171875e-02,5.319149e-03,
inv_causal,256,2,192,torch_flex,dk,1.501465e-02,6.120621e-03,
inv_causal,256,2,192,torch_flex,dv,9.765625e-04,1.795977e-04,
bi_causal,128,2,192,torch_flex,out,0.000000e+00,0.000000e+00,
bi_causal,128,2,192,torch_flex,dq,2.346933e-06,1.897590e+00,
bi_causal,128,2,192,torch_flex,dk,2.708286e-06,2.189759e+00,
bi_causal,128,2,192,torch_flex,dv,0.000000e+00,0.000000e+00,
bi_causal,256,2,192,torch_flex,out,0.000000e+00,0.000000e+00,
bi_causal,256,2,192,torch_flex,dq,2.801418e-06,1.948187e+00,
bi_causal,256,2,192,torch_flex,dk,2.942979e-06,2.194444e+00,
bi_causal,256,2,192,torch_flex,dv,0.000000e+00,0.000000e+00,
sliding_window_causal,128,2,192,torch_flex,out,1.562500e-02,4.926108e-03,
sliding_window_causal,128,2,192,torch_flex,dq,1.171875e-02,6.122449e-03,
sliding_window_causal,128,2,192,torch_flex,dk,1.562500e-02,8.097166e-03,
sliding_window_causal,128,2,192,torch_flex,dv,0.000000e+00,0.000000e+00,
sliding_window_causal,256,2,192,torch_flex,out,1.562500e-02,5.780347e-03,
sliding_window_causal,256,2,192,torch_flex,dq,1.562500e-02,3.225806e-03,
sliding_window_causal,256,2,192,torch_flex,dk,1.562500e-02,4.926108e-03,
sliding_window_causal,256,2,192,torch_flex,dv,1.953125e-03,3.980892e-04,
sliding_window_full,128,2,192,torch_flex,out,7.812500e-03,5.649718e-03,
sliding_window_full,128,2,192,torch_flex,dq,7.812500e-03,5.714286e-03,
sliding_window_full,128,2,192,torch_flex,dk,7.812500e-03,4.950495e-03,
sliding_window_full,128,2,192,torch_flex,dv,3.051758e-05,1.683728e-05,
sliding_window_full,256,2,192,torch_flex,out,7.812500e-03,5.405405e-03,
sliding_window_full,256,2,192,torch_flex,dq,7.812500e-03,5.263158e-03,
sliding_window_full,256,2,192,torch_flex,dk,7.812500e-03,5.319149e-03,
sliding_window_full,256,2,192,torch_flex,dv,1.953125e-03,1.126126e-03,
varlen_full,128,2,192,torch_flex,out,7.812500e-03,5.235602e-03,
varlen_full,128,2,192,torch_flex,dq,7.812500e-03,4.807692e-03,
varlen_full,128,2,192,torch_flex,dk,7.812500e-03,5.025126e-03,
varlen_full,128,2,192,torch_flex,dv,1.953125e-03,1.012146e-03,
varlen_full,256,2,192,torch_flex,out,3.906250e-03,2.976190e-03,
varlen_full,256,2,192,torch_flex,dq,7.812500e-03,6.451613e-03,
varlen_full,256,2,192,torch_flex,dk,7.812500e-03,6.369427e-03,
varlen_full,256,2,192,torch_flex,dv,1.953125e-03,1.700680e-03,
varlen_causal,128,2,192,torch_flex,out,1.562500e-02,4.081633e-03,
varlen_causal,128,2,192,torch_flex,dq,1.562500e-02,5.494505e-03,
varlen_causal,128,2,192,torch_flex,dk,1.562500e-02,4.048583e-03,
varlen_causal,128,2,192,torch_flex,dv,0.000000e+00,0.000000e+00,
varlen_causal,256,2,192,torch_flex,out,1.562500e-02,4.237288e-03,
varlen_causal,256,2,192,torch_flex,dq,9.765625e-03,3.834356e-03,
varlen_causal,256,2,192,torch_flex,dk,1.562500e-02,5.464481e-03,
varlen_causal,256,2,192,torch_flex,dv,7.812500e-03,1.592357e-03,
